عامل بیماری رینوتراکئیت عفونی گاوی (IBR) چیست؟,ویروس هرپس گاوی تیپ ۱ (Bovine herpesvirus 1 یا BHV-1).
ویروس BHV-1، عامل بیماری IBR، به کدام خانواده و زیرخانواده تعلق دارد؟,خانواده Herpesviridae و زیرخانواده alpha-herpesvirinae.
ویروس BHV-1 به چه مواردی حساس است و به راحتی از بین می‌رود؟,به مواد ضدعفونی کننده، گرما، سرما، و خشکی در محیط حساس است.
مهم‌ترین فرم بالینی بیماری ناشی از ویروس BHV-1 چیست؟,فرم تنفسی (IBR) که یک بیماری تنفسی همراه با سقط جنین است.
فرم تناسلی بیماری BHV-1 در گاو ماده چه نام دارد؟,ولوواژینیت پوستولار عفونی (Infectious pustular vulvovaginitis یا IPV).
فرم تناسلی بیماری BHV-1 در گاو نر چه نام دارد؟,بالانوپوستیت پوستولار عفونی (Infectious pustular balanoposthitis یا IPB).
آیا فرم‌های تناسلی IBR (IPV و IPB) معمولاً باعث سقط جنین می‌شوند؟,خیر، این فرم‌ها معمولاً حالت سیستمیک ندارند و عامل سقط جنین نیستند.
ضایعه شاخص و مشخصه بیماری IBR در دستگاه تنفسی چیست؟,وجود پلاک‌های سفیدرنگ نکروتیک چسبنده (White necrotic debris).
در گذشته بیماری IBR به چه نامی معروف بود و چرا؟,به آن 'بینی قرمز' (Red nose) می‌گفتند به دلیل قرمز شدن بینی حیوان.
فرم سپتی‌سمیک نوزادی IBR در چه زمانی رخ می‌دهد؟,اگر ویروس در ۱۰ هفته آخر مرحله جنینی وارد شود یا گوساله در ۲ روز اول پس از تولد مبتلا شود.
در فرم سپتی‌سمیک نوزادی IBR، ضایعات نکروتیک گسترده (White necrotic lesion) در کدام قسمت‌های بدن دیده می‌شوند؟,به طور گسترده در دهان، مری و قسمت چهارم معده (شیردان).
برای تشخیص میکروسکوپی سقط جنین ناشی از IBR، چه ضایعاتی در کبد، طحال و غده فوق کلیه جنین جستجو می‌شود؟,نکروزهای کوچک و کانونی (focal) و اینکلوژن بادی‌های درون هسته‌ای.
کدام تست آزمایشگاهی برای تشخیص IBR، آنتی‌ژن ویروس را در بافت‌های مختلف شناسایی می‌کند؟,تست آنتی‌بادی فلئوروسنت (Immunofluorescence).
چرا جداسازی ویروس BHV-1 در کشت سلولی یک روش تشخیصی مناسب است؟,چون ویروس به راحتی قابل جداسازی است و خیلی سریع اثر سیتوپاتیک (CPE) ایجاد می‌کند.
ویروس‌های هرپس مانند BHV-1 پس از عفونت اولیه در کدام قسمت‌های بدن حیوان به صورت نهفته (Latent) باقی می‌مانند؟,در سیستم عصبی (گانگلیون‌های ناحیه ساکرال یا سیستم عصبی ناحیه صورت و مسیر تنفسی).
در واکسن مارکر (Gene deleted marker) علیه IBR، کدام ژن حذف می‌شود و هدف از این کار چیست؟,ژن E حذف می‌شود تا در تست الایزا بتوان آنتی‌بادی واکسینال را از آنتی‌بادی عفونت طبیعی تمایز داد.
در زمان شیوع IBR در گله، استفاده از واکسن به چه روشی برای دام‌های سالم توصیه می‌شود؟,استفاده از واکسن به روش داخل بینی (Intra nasal) برای افزایش سریع آنتی‌بادی‌های مخاطی.
عامل بیماری پاراآنفلوآنزای گاوی (PI3) به کدام خانواده ویروسی تعلق دارد؟,خانواده Paramyxoviridae.
کدام ویژگی ویروس PI3 باعث می‌شود بتوان از تست‌های HI و HA برای تشخیص آن استفاده کرد؟,خاصیت هماگلوتیناسیون (Hemagglutination).
ویروس PI3 در کشت سلولی باعث ایجاد چه ساختار مشخصی می‌شود که در آن سلول‌ها به هم متصل شده و سلول‌های غول‌آسا (giant cell) ایجاد می‌کنند؟,تشکیل سین‌سیشیوم (Syncytial formation).
ویروس پاراآنفلوآنزا ۳ (PI3) در کدام قسمت سلول میزبان اینکلوژن بادی ایجاد می‌کند؟,درون سیتوپلاسم (اینکلوژن بادی سیتوپلاسمی).
بیماری ناشی از ویروس PI3 در گاوها اغلب به چه صورتی بروز می‌کند؟,بیشتر به صورت مخفی یا تحت بالینی (inapparent یا subclinical) است.
چگونه می‌توان عفونت جنینی با ویروس PI3 را تشخیص داد؟,با جداسازی ویروس از جنین سقط شده یا با انجام تست HI روی خون جنین برای شناسایی آنتی‌بادی تولید شده توسط خود جنین.
کدام تست‌های سرولوژی برای تشخیص بیماری PI3 استفاده می‌شوند؟,تست مهار هماگلوتیناسیون (HI)، تست خنثی‌سازی سرم (SN) و Plaque assay.
برای پیشگیری از PI3، واکسن آن معمولاً به صورت ترکیبی با واکسن کدام بیماری‌های دیگر استفاده می‌شود؟,به صورت ترکیبی با واکسن‌های BVD و IBR.
