ویروس عامل بیماری تب برفکی (FMD) به کدام خانواده تعلق دارد؟,خانواده Picornaviridae.
ویروس تب برفکی (FMD) که از جنس Aphthovirus است، چه مشخصات ساختاری دارد؟,یک ویروس RNA دار، کوچک، بدون انولوپ (Naked)، بیست وجهی و با حس مثبت (positive sense) است.
برای پیشگیری و کنترل تب برفکی (FMD) در ایران از چه نوع واکسنی استفاده می‌شود؟,از واکسن کشته استفاده می‌شود.
چرا در کنترل تب برفکی (FMD) از واکسن زنده استفاده نمی‌شود؟,به دلیل موتاسیون بالای ویروس.
در برنامه‌های ریشه‌کنی (Eradication) تب برفکی (FMD) در کشورهایی مانند انگلستان، با حیوانات مبتلا و در تماس چه برخوردی می‌شود؟,همه حیوانات مبتلا و سالم در تماس، در شعاع مشخصی کشته و سوزانده می‌شوند.
کدام تست مولکولی به عنوان یک روش سریع و خوب برای تشخیص اسید نوکلئیک ویروس تب برفکی (FMD) به کار می‌رود؟,تست rt-PCR.
ویروس تب برفکی (FMD) در کدام محیط کشت سلولی به خوبی رشد کرده و جدا می‌شود؟,در سلول‌های BHK 21 (baby hamster kidneys) و RBK (razi bovine kidney).
ویروس عامل بیماری تورم دهان تاولی (Vesicular Stomatitis - VS) به کدام خانواده تعلق دارد؟,خانواده Rhabdoviridae.
ویروس تورم دهان تاولی (VS) از کدام جنس خانواده Rhabdoviridae است؟,جنس Vesiculovirus.
در کنترل بیماری تورم دهان تاولی (VS)، چرا ویروس به راحتی با مواد ضدعفونی‌کننده از بین می‌رود؟,به دلیل داشتن انولوپ (envelope) و حساس بودن آن.
یکی از روش‌های اصلی پیشگیری و کنترل بیماری تورم دهان تاولی (VS) که به دلیل روش انتقال آن اهمیت دارد، چیست؟,کنترل حشرات (وکتورها مانند پشه خاکی و مگس سیاه).
برای تشخیص آزمایشگاهی تورم دهان تاولی (VS)، از چه روش‌های مولکولی و سرولوژیکی استفاده می‌شود؟,تست rt-PCR با پرایمرهای اختصاصی و روش‌هایی مانند ELISA و Neutralization.
مشاهده ویروس فشنگی شکل زیر میکروسکوپ الکترونی، مشخصه تشخیصی کدام بیماری تاولی در گاو است؟,تورم دهان تاولی (Vesicular Stomatitis - VS).
عامل بیماری تب نزله‌ای بدخیم (MCF) به کدام خانواده ویروسی تعلق دارد؟,خانواده Herpesviridae.
ویروس عامل تب نزله‌ای بدخیم (MCF) در کدام زیرخانواده قرار می‌گیرد؟,زیرخانواده Gammaherpesvirinae.
چرا برای بیماری تب نزله‌ای بدخیم (MCF) واکسن وجود ندارد؟,چون ارتباط مستقیمی بین آنتی‌بادی و protection وجود ندارد.
کنترل اصلی بیماری تب نزله‌ای بدخیم (MCF) شامل چه اقداماتی است؟,قرنطینه و ضدعفونی محیط، به خصوص در زمان زایمان میش‌ها.
کدام تست مولکولی می‌تواند به خوبی ویروس تب نزله‌ای بدخیم (MCF) را مشخص کند؟,تست PCR.
چرا جداسازی ویروس تب نزله‌ای بدخیم (MCF) به خصوص نوع گوسفندی (OHV-2) کار فوق‌العاده سختی است؟,چون نوع گوسفندی اصلاً جدا نمی‌شود و فقط با روش‌های مولکولی تشخیص داده می‌شود.
ویروس عامل اسهال ویروسی گاوها (BVD) از کدام خانواده است؟,خانواده Flaviviridae.
ویروس اسهال ویروسی گاوها (BVD) به کدام جنس تعلق دارد؟,جنس Pestivirus.
